recid,year,amount,dept_code,cofog_level1_code,cofog_level2_code,cofog_level3_code,pog,id_or_non_id,cap_or_cur,cg_lg_or_pc,nuts_region
2006-7,2006,67740.74,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_West Midlands
2007-7,2007,67381.84,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_West Midlands
2008-7,2008,76892.46,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_West Midlands
2009-7,2009,85236.69,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_West Midlands
2010-7,2010,85236.69,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_West Midlands
2004-8,2004,76605.76,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_East
2005-8,2005,57141.83,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_East
2006-8,2006,67409.50,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_East
2007-8,2007,67052.37,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_East
2008-8,2008,76516.48,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_East
2009-8,2009,84819.90,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_East
2010-8,2010,84819.90,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_East
2004-9,2004,110964.57,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_London
2005-9,2005,82770.77,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_London
2006-9,2006,97643.64,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_London
2007-9,2007,97126.33,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_London
2008-9,2008,110835.24,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_London
2009-9,2009,122862.86,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_London
2010-9,2010,122862.86,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_London
2004-10,2004,111245.87,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South East
2005-10,2005,82980.60,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South East
2006-10,2006,97891.18,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South East
2007-10,2007,97372.55,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South East
2008-10,2008,111116.22,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South East
2009-10,2009,123174.33,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South East
2010-10,2010,123174.33,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South East
2004-11,2004,65419.44,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South West
2005-11,2005,48797.72,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South West
2006-11,2006,57566.06,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South West
2007-11,2007,57261.07,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South West
2008-11,2008,65343.19,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South West
2009-11,2009,72434.11,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South West
2010-11,2010,72434.11,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,ENGLAND_South West
2004-12,2004,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,OUTSIDE UK
2005-12,2005,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,OUTSIDE UK
2006-12,2006,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,OUTSIDE UK
2007-12,2007,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,OUTSIDE UK
2008-12,2008,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,OUTSIDE UK
2009-12,2009,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,OUTSIDE UK
2010-12,2010,0.00,Dept020,04,04.3,,P31 S040604,ID,CAP,CG,OUTSIDE UK
2004-13,2004,3582092.17,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,SCOTLAND
2005-13,2005,3045280.97,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,SCOTLAND
2006-13,2006,3249780.48,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,SCOTLAND
2007-13,2007,3323499.87,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,SCOTLAND
2008-13,2008,3353562.06,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,SCOTLAND
2009-13,2009,5085106.06,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,SCOTLAND
2010-13,2010,3819143.09,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,SCOTLAND
2004-14,2004,1957097.14,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,WALES
2005-14,2005,1663807.19,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,WALES
2006-14,2006,1775536.69,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,WALES
2007-14,2007,1815813.71,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,WALES
2008-14,2008,1832238.37,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,WALES
2009-14,2009,2778277.63,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,WALES
2010-14,2010,2086611.31,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,WALES
2004-15,2004,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,NORTHERN IRELAND
2005-15,2005,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,NORTHERN IRELAND
2006-15,2006,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,NORTHERN IRELAND
2007-15,2007,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,NORTHERN IRELAND
2008-15,2008,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,NORTHERN IRELAND
2009-15,2009,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,NORTHERN IRELAND
2010-15,2010,0.00,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,NORTHERN IRELAND
2004-16,2004,1760948.96,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North East
2005-16,2005,1497053.71,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North East
2006-16,2006,1597585.23,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North East
2007-16,2007,1633825.53,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North East
2008-16,2008,1648604.04,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North East
2009-16,2009,2499827.43,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North East
2010-16,2010,1877482.70,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North East
2004-17,2004,4599673.64,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North West
2005-17,2005,3910368.01,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North West
2006-17,2006,4172960.63,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North West
2007-17,2007,4267621.83,Dept020,04,04.3,,P31 S040604,ID,CUR,CG,ENGLAND_North West
